,ENSEMBLE,REAL,INTERPOLATE_RELPERM_INTERPOLATE_GO,INTERPOLATE_RELPERM_INTERPOLATE_WO,LOG10_MULTFLT_MULTFLT_F1,LOG10_MULTFLT_MULTFLT_F2,LOG10_MULTFLT_MULTFLT_F3,LOG10_MULTFLT_MULTFLT_F4,LOG10_MULTFLT_MULTFLT_F5,LOG10_MULTZ_MULTZ_MIDREEK,MULTFLT_MULTFLT_F1,MULTFLT_MULTFLT_F2,MULTFLT_MULTFLT_F3,MULTFLT_MULTFLT_F4,MULTFLT_MULTFLT_F5,MULTZ_MULTZ_MIDREEK,RMSGLOBPARAMS_COHIBA_MODEL_MODE,RMSGLOBPARAMS_FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
53,iter-1,53,0.0182745,-0.953372,-1.0009,-1.45926,-0.272548,-3.19032,-2.4182,-5.69717,0.0997939,0.0347325,0.53389,0.000645184,0.00381771,2.00831e-06,1,1704.75,0.0182745,-0.953372,0.0997939,0.0347325,0.53389,0.000645184,0.00381771,2.00831e-06,1,1704.75
54,iter-1,54,-0.567837,-0.81105,-0.405839,-0.196064,-0.578581,-2.29921,-4.35981,-9.13599,0.39279,0.636702,0.263888,0.00502097,4.3671e-05,7.31163e-10,1,1707.47,-0.567837,-0.81105,0.39279,0.636702,0.263888,0.00502097,4.3671e-05,7.31163e-10,1,1707.47
55,iter-1,55,-0.3127,-0.989143,-0.251715,-2.418,-0.484949,-3.79773,-2.07273,-1.34416,0.560125,0.00381941,0.327379,0.000159321,0.00845797,0.0452731,1,1704.28,-0.3127,-0.989143,0.560125,0.00381941,0.327379,0.000159321,0.00845797,0.0452731,1,1704.28
56,iter-1,56,-0.49598,-0.843656,-0.879663,-0.670883,-0.86342,-2.30992,-3.31869,-3.31493,0.131928,0.213362,0.136956,0.00489867,0.000480075,0.000484249,1,1705.71,-0.49598,-0.843656,0.131928,0.213362,0.136956,0.00489867,0.000480075,0.000484249,1,1705.71
57,iter-1,57,0.142266,-0.958017,-0.408505,-2.16035,-1.11752,-1.04124,-3.95477,-1.13242,0.390387,0.00691272,0.0762921,0.090942,0.000110976,0.073719,1,1700.75,0.142266,-0.958017,0.390387,0.00691272,0.0762921,0.090942,0.000110976,0.073719,1,1700.75
58,iter-1,58,-0.270053,-0.982375,-0.246066,-1.34479,-0.595712,-3.24559,-1.89042,-8.00924,0.567459,0.045207,0.253681,0.000568082,0.0128702,9.78959e-09,1,1703.83,-0.270053,-0.982375,0.567459,0.045207,0.253681,0.000568082,0.0128702,9.78959e-09,1,1703.83
59,iter-1,59,-0.722117,-0.960575,-0.0924291,-1.26841,-0.475356,-2.42399,-2.30197,-1.33965,0.808297,0.0539003,0.334691,0.00376709,0.00498923,0.045746,1,1699.8,-0.722117,-0.960575,0.808297,0.0539003,0.334691,0.00376709,0.00498923,0.045746,1,1699.8
60,iter-1,60,0.369436,-0.999174,-0.00515277,-0.451482,-0.0321127,-2.49444,-2.5605,-8.50883,0.988205,0.353605,0.928725,0.00320299,0.00275103,3.09866e-09,1,1706.21,0.369436,-0.999174,0.988205,0.353605,0.928725,0.00320299,0.00275103,3.09866e-09,1,1706.21
61,iter-1,61,-0.911592,-0.9401,-0.792135,-1.97858,-0.515189,-2.80015,-4.5523,-4.36928,0.161386,0.0105057,0.305359,0.00158435,2.80352e-05,4.27292e-05,1,1705.27,-0.911592,-0.9401,0.161386,0.0105057,0.305359,0.00158435,2.80352e-05,4.27292e-05,1,1705.27
62,iter-1,62,0.586481,-0.837699,-0.465421,-3.89894,-1.33138,-1.15832,-2.10717,-5.4963,0.342436,0.0001262,0.0466256,0.069452,0.00781316,3.18933e-06,1,1699.64,0.586481,-0.837699,0.342436,0.0001262,0.0466256,0.069452,0.00781316,3.18933e-06,1,1699.64
